object_id,label,layer,language names,spellings,alternate names,notes,sources,type,Language areas,Sub-regions,Jamoats,text
0,Харағ,Shughni,"{'Shughni': 'Харағ (Xaraɣ)', 'Russian': 'Хорог (Xorog)', 'Tajiki': 'Хоруғ (Xoruɣ)', 'English': 'Khorugh / Khorog / Kharagh'}",,,"['in 1900s, the Kharagh community (Kharagh and nearby villages) had 52 houses and circa 447 inhabitants [Каландаров 2004: 75]', 'according to [Каландаров 2004: 89], before the Soviet rule Kharagh was a small village with circa 10 houses; its growth began in 1925']",['Эдельман 1975: 49'],point,proper Shughni language,—,—,"Shughni: Харағ (Xaraɣ)
Russian: Хорог (Xorog)
Tajiki: Хоруғ (Xoruɣ)
English: Khorugh / Khorog / Kharagh
coordinates: [37.4904058, 71.5526694]
altitude: 2078 m

idiom: proper Shughni language

notes: in 1900s, the Kharagh community (Kharagh and nearby villages) had 52 houses and circa 447 inhabitants [Каландаров 2004: 75]; according to [Каландаров 2004: 89], before the Soviet rule Kharagh was a small village with circa 10 houses; its growth began in 1925

sources: [Эдельман 1975: 49]"
1,Пāст-Баҷуw,Shughni,{'Russian': 'Паст-Баджув (Past-Badzhuv)'},['Паст-Бачув (Past-Bachuv)'],,"['according to Karamshoev, in 1963 only 10–15% of Bajuwis lived in Пāст-Баҷуw']","['Карамшоев 1963: 5–6', 'Эдельман 1975: 49']",point,Bajuwi variety,Баҷуw,—,"Russian: Паст-Баджув (Past-Badzhuv)
alternate spellings: Паст-Бачув (Past-Bachuv)
coordinates: [37.8012288, 71.5957425]
altitude: 2003 m

idiom: Bajuwi variety
regions: Баҷуw

notes: according to Karamshoev, in 1963 only 10–15% of Bajuwis lived in Пāст-Баҷуw

sources: [Карамшоев 1963: 5–6; Эдельман 1975: 49]"
2,Баҷуw,Shughni,"{'Shughni': 'Баҷӯw (Baǰūw)', 'Khufi': 'Баҷу̊w (Baǰůw)', 'Russian': 'Баджув (Badzhuv)'}","['Баджу (Badzhu', 'Baju)', 'Бачу (Bachu)', 'Бачув (Bachuv)']",,"['consists of several small settlements: Дӣ (Dī), Рож (Rož), Патê (Patê)']","['Карамшоев 1963: 5–6', 'Эдельман 1975: 49']",point,Bajuwi variety,Баҷуw,—,"Shughni: Баҷӯw (Baǰūw)
Khufi: Баҷу̊w (Baǰůw)
Russian: Баджув (Badzhuv)
alternate spellings: Баджу (Badzhu, Baju), Бачу (Bachu), Бачув (Bachuv)
coordinates: [37.7578723, 71.6333873]
altitude: 2851 m

idiom: Bajuwi variety
regions: Баҷуw

notes: consists of several small settlements: Дӣ (Dī), Рож (Rož), Патê (Patê)

sources: [Карамшоев 1963: 5–6; Эдельман 1975: 49]"
3,Баҷуw,Shughni,"{'Shughni': 'Баҷӯw (Baǰūw)', 'Khufi': 'Баҷу̊w (Baǰůw)', 'Russian': 'Баджув (Badzhuv)'}","['Баджу (Badzhu', 'Baju)', 'Бачу (Bachu)', 'Бачув (Bachuv)']",,,"['Карамшоев 1963: 5–6', 'Эдельман 1975: 49']",point,Bajuwi variety,Баҷуw,—,"Shughni: Баҷӯw (Baǰūw)
Khufi: Баҷу̊w (Baǰůw)
Russian: Баджув (Badzhuv)
alternate spellings: Баджу (Badzhu, Baju), Бачу (Bachu), Бачув (Bachuv)
coordinates: [37.7578723, 71.6333873]
altitude: 2851 m

idiom: Bajuwi variety
regions: Баҷуw

sources: [Карамшоев 1963: 5–6; Эдельман 1975: 49]"
4,Дахт,Shughni,"{'Shughni': '?', 'Russian': 'Дахт (Dakht)'}",['Дашт (Dasht)'],,['belongs to the Сох̌чāрв jamoat'],"['Каландаров 2004: 12', 'J-42']",point,proper Shughni language,—,Сох̌чāрв ҷамоат,"Shughni: ?
Russian: Дахт (Dakht)
alternate spellings: Дашт (Dasht)
coordinates: [37.7681413, 71.5393478]
altitude: 2020 m

idiom: proper Shughni language

notes: belongs to the Сох̌чāрв jamoat

sources: [Каландаров 2004: 12; J-42]"
5,Чохкандез,Shughni,"{'Shughni': '?', 'Russian': 'Чохкандез (Chokhkandez)'}",['Чошткандез (Choshtkandez)'],,['belongs to the Сох̌чāрв jamoat'],"['Каландаров 2004: 12', 'J-42']",point,proper Shughni language,—,Сох̌чāрв ҷамоат,"Shughni: ?
Russian: Чохкандез (Chokhkandez)
alternate spellings: Чошткандез (Choshtkandez)
coordinates: [37.74118, 71.5497233]
altitude: 2031 m

idiom: proper Shughni language

notes: belongs to the Сох̌чāрв jamoat

sources: [Каландаров 2004: 12; J-42]"
6,Сох̌чāрв,Shughni,"{'Shughni': 'Сох̌чāрв (Sox̌čārv)', 'Russian': 'Сохчарв (Sokhcharv)'}",,,['belongs to the Сох̌чāрв jamoat'],"['Эдельман 1975: 49', 'Каландаров 2004: 12', 'J-42']",point,proper Shughni language,—,Сох̌чāрв ҷамоат,"Shughni: Сох̌чāрв (Sox̌čārv)
Russian: Сохчарв (Sokhcharv)
coordinates: [37.721536, 71.5521183]
altitude: 2058 m

idiom: proper Shughni language

notes: belongs to the Сох̌чāрв jamoat

sources: [Эдельман 1975: 49; Каландаров 2004: 12; J-42]"
7,Буни,Shughni,"{'Shughni': '?', 'Russian': 'Буни (Buni)'}",,,['belongs to the Сох̌чāрв jamoat'],"['Каландаров 2004: 12', 'J-42']",point,proper Shughni language,—,Сох̌чāрв ҷамоат,"Shughni: ?
Russian: Буни (Buni)
coordinates: [37.6940965, 71.5462848]
altitude: 2070 m

idiom: proper Shughni language

notes: belongs to the Сох̌чāрв jamoat

sources: [Каландаров 2004: 12; J-42]"
8,Бāр-Йомҷ,Shughni,{'Shughni': '?'},"['Барьёмдж (Baryomdzh)', 'Йомч (Yomč)', 'Иомч (Iomč)']",,"['a part of a bigger settlement Йомҷ (Yomǰ), which belongs to the Сох̌чāрв jamoat']","['Эдельман 1975: 49', 'Каландаров 2004: 12', 'J-42']",point,proper Shughni language,—,Сох̌чāрв ҷамоат,"Shughni: ?
alternate spellings: Барьёмдж (Baryomdzh), Йомч (Yomč), Иомч (Iomč)
coordinates: [37.6580969, 71.5320274]
altitude: 2063 m

idiom: proper Shughni language

notes: a part of a bigger settlement Йомҷ (Yomǰ), which belongs to the Сох̌чāрв jamoat

sources: [Эдельман 1975: 49; Каландаров 2004: 12; J-42]"
9,Дир-Йомҷ,Shughni,{'Shughni': '?'},"['Дирьёмдж (Diryomdzh)', 'Йомч (Yomč)', 'Иомч (Iomč)']",,"['a part of a bigger settlement Йомҷ (Yomǰ), which belongs to the Сох̌чāрв jamoat']","['Эдельман 1975: 49', 'Каландаров 2004: 12', 'J-42']",point,proper Shughni language,—,Сох̌чāрв ҷамоат,"Shughni: ?
alternate spellings: Дирьёмдж (Diryomdzh), Йомч (Yomč), Иомч (Iomč)
coordinates: [37.6430105, 71.5296671]
altitude: 2057 m

idiom: proper Shughni language

notes: a part of a bigger settlement Йомҷ (Yomǰ), which belongs to the Сох̌чāрв jamoat

sources: [Эдельман 1975: 49; Каландаров 2004: 12; J-42]"
