object_id,type,lat,lon,height
0,point,37.4904058,71.5526694,2078.0
1,point,37.8012288,71.5957425,2003.0
2,point,37.7578723,71.6333873,2851.0
3,point,37.7578723,71.6333873,2851.0
4,point,37.7681413,71.5393478,2020.0
5,point,37.74118,71.5497233,2031.0
6,point,37.721536,71.5521183,2058.0
7,point,37.6940965,71.5462848,2070.0
8,point,37.6580969,71.5320274,2063.0
9,point,37.6430105,71.5296671,2057.0
10,point,37.6053176,71.5165305,2130.0
11,point,37.6025296,71.5122296,2070.0
12,point,37.5986705,71.5160614,2109.0
13,point,37.5867924,71.5151423,2134.0
14,point,37.5758923,71.5137507,2122.0
15,point,37.5823793,71.5141811,2131.0
16,point,37.5608058,71.5098025,2052.0
17,point,37.5714341,71.5165364,2186.0
18,point,37.5660409,71.5153703,2193.0
19,point,37.5207203,71.5080674,2082.0
20,point,37.4938635,71.5206848,2086.0
21,point,37.4704078,71.5252762,2088.0
22,point,37.4043958,71.492934,2133.0
23,point,37.3749076,71.4946524,2157.0
24,point,37.3141844,71.5081616,2199.0
25,point,37.3232249,71.5001921,2200.0
26,point,37.5259714,71.6076672,2252.0
27,point,37.5429005,71.6877749,2313.0
28,point,37.5247831,71.6256098,2426.0
29,point,37.533407,71.6340529,2592.0
30,point,37.524293,71.6417294,2284.0
31,point,37.5194888,71.6382898,2230.0
32,point,37.5303788,71.6532634,2290.0
33,point,37.5303788,71.6532634,2290.0
34,point,37.5337494,71.6452038,2466.0
35,point,37.5345704,71.6676514,2307.0
36,point,37.5535944,71.7158172,2344.0
37,point,37.5405356,71.6799456,2292.0
38,point,37.5425673,71.667856,2574.0
39,point,37.5428947,71.6951099,2319.0
40,point,37.5650398,71.7181443,2404.0
41,point,37.572921,71.7303752,2375.0
42,point,37.601376,71.7424707,2439.0
43,point,37.616758,71.7634034,2477.0
44,point,37.644069,71.7861381,2517.0
45,point,37.6524729,71.7733111,2543.0
46,point,37.6486589,71.7966785,2527.0
47,point,37.6561254,71.8092041,2569.0
48,point,37.6634807,71.8154958,2598.0
49,point,37.6831595,71.8492701,2622.0
50,point,37.6938741,71.8703156,2621.0
51,point,37.6997496,71.8854527,2611.0
52,point,37.6751607,71.8347147,2572.0
53,point,37.6967662,71.9198847,2658.0
54,point,37.7176024,71.9584864,2701.0
55,point,37.7235642,71.9786884,2728.0
56,point,37.7396016,72.0247991,2815.0
57,point,37.7353034,72.0416913,2995.0
58,point,37.7335678,72.0680176,2890.0
59,point,37.7204752,72.0377416,2834.0
60,point,37.7409335,72.0909057,2906.0
61,point,37.7462208,72.149951,2925.0
62,point,37.7431408,72.1246001,2931.0
63,point,37.7160577,72.1641954,2958.0
64,point,37.6963318,72.1889896,3003.0
65,point,37.7082738,72.2098433,3026.0
66,point,37.7245829,72.2469875,3041.0
67,point,37.7192586,72.2782757,3057.0
68,point,37.7103138,72.3626861,3158.0
69,point,37.7131362,72.3420627,3119.0
70,point,37.7169492,72.3047597,3107.0
71,point,37.7077952,72.3066318,3084.0
72,point,37.6991845,72.3349828,3122.0
73,point,37.7025206,72.3461086,3146.0
74,point,37.7016531,72.3701502,3148.0
75,point,37.7396294,72.5397705,3325.0
76,point,37.7004008,72.3996998,3203.0
77,point,37.6976527,72.4514932,3312.0
78,point,37.6868413,72.4819778,3341.0
79,point,37.6639807,72.5098718,3408.0
80,point,37.5746419,72.5909803,3551.0
81,point,37.4603576,71.6026116,2280.0
82,point,37.4550471,71.6076273,2142.0
83,point,37.4461352,71.6073567,2171.0
84,point,37.4395084,71.6023407,2447.0
85,point,37.4345639,71.6096087,2187.0
86,point,37.4230786,71.6036927,2604.0
87,point,37.4294882,71.612928,2198.0
88,point,37.4186767,71.6196205,2226.0
89,point,37.4056108,71.6201417,2558.0
90,point,37.405778,71.6336995,2300.0
91,point,37.4102931,71.6248434,2258.0
92,point,37.4024354,71.6378085,2288.0
93,point,37.3999437,71.6424928,2310.0
94,point,37.3929528,71.6619491,2368.0
95,point,37.3874152,71.6528243,2613.0
96,point,37.385699,71.6643741,2393.0
97,point,37.3837432,71.6746888,2492.0
98,point,37.4237853,71.6478545,2718.0
99,point,37.4272404,71.6580642,2930.0
100,point,37.354502,71.6673508,2830.0
101,point,37.372319,71.6587396,2701.0
102,point,37.3633583,71.6633017,2644.0
103,point,37.3689833,71.6689142,2568.0
104,point,37.3720354,71.6717084,2449.0
105,point,37.3603871,71.6889495,2496.0
106,point,37.3623677,71.6918548,2505.0
107,point,37.3493482,71.7140253,2750.0
108,point,37.33922,71.7107083,2574.0
109,point,37.33922,71.7107083,2574.0
110,point,37.3368335,71.7146488,2561.0
111,point,37.3262463,71.7219482,2576.0
112,point,37.3207652,71.7472973,2606.0
113,point,37.3141341,71.7476608,2634.0
114,point,37.3015208,71.7691033,2613.0
115,point,37.3039128,71.7687379,2589.0
116,point,37.3061174,71.7750318,2719.0
117,point,37.3039921,71.7802758,2688.0
118,point,37.2939301,71.7810313,2653.0
119,point,37.2866608,71.7869864,2627.0
120,point,37.2724605,71.7937452,2636.0
121,point,37.2706581,71.7886574,2663.0
122,point,37.2656601,71.8000055,2635.0
123,point,37.2627683,71.8074328,2643.0
124,point,37.2574947,71.8135739,2737.0
125,point,37.2656084,71.808178,2632.0
126,point,37.2621624,71.8135258,2649.0
127,point,37.2658603,71.8173345,2757.0
128,point,37.2594465,71.8233674,2679.0
129,point,37.2513005,71.8301346,2711.0
130,point,37.2387449,71.8271728,2713.0
131,point,37.2214791,71.8298912,2754.0
132,point,37.2151157,71.8380472,2742.0
133,point,37.2102414,71.8442867,2783.0
134,point,37.2056955,71.8381499,2803.0
135,point,37.1953355,71.8545694,2794.0
136,point,37.1877118,71.8641021,2815.0
137,point,37.1930009,71.8919922,2812.0
138,point,37.1884647,71.8698424,2799.0
139,point,37.1955211,71.9233153,2887.0
140,point,37.1862575,71.947209,2884.0
141,point,37.1825163,71.9632931,2968.0
142,point,37.1927844,71.9814019,2904.0
143,point,37.2415252,72.0029641,3015.0
144,point,37.2782602,71.9960459,3104.0
145,point,37.209741,72.0551433,2920.0
